IN	ADP	in
the	DET	the
year	NOUN	year
1878	NUM	1878
I	PRON	I
took	VERB	take
my	PRON	my
degree	NOUN	degree
of	ADP	of
Doctor	PROPN	Doctor
of	ADP	of
Medicine	PROPN	Medicine
of	ADP	of
the	DET	the
University	PROPN	University
of	ADP	of
London	PROPN	London
,	PUNCT	,
and	CCONJ	and
proceeded	VERB	proceed
to	ADP	to
Netley	PROPN	Netley
to	PART	to
go	VERB	go
through	ADP	through
the	DET	the
course	NOUN	course
prescribed	VERB	prescribe
for	ADP	for
surgeons	NOUN	surgeon
in	ADP	in
the	DET	the
army	NOUN	army
.	PUNCT	.
Having	AUX	having
completed	VERB	complete
my	PRON	my
studies	NOUN	study
there	ADV	there
,	PUNCT	,
I	PRON	I
was	AUX	be
duly	ADV	duly
attached	VERB	attach
to	ADP	to
the	DET	the
Fifth	PROPN	Fifth
Northumberland	PROPN	Northumberland
Fusiliers	PROPN	Fusiliers
as	ADP	as
Assistant	PROPN	Assistant
Surgeon	PROPN	Surgeon
.	PUNCT	.
The	DET	the
regiment	NOUN	regiment
was	AUX	be
stationed	VERB	station
in	ADP	in
India	PROPN	India
at	ADP	at
the	DET	the
time	NOUN	time
,	PUNCT	,
and	CCONJ	and
before	ADP	before
I	PRON	I
could	AUX	could
join	VERB	join
it	PRON	it
,	PUNCT	,
the	DET	the
second	ADJ	second
Afghan	ADJ	afghan
war	NOUN	war
had	AUX	have
broken	VERB	break
out	ADP	out
.	PUNCT	.
On	ADP	on
landing	NOUN	landing
at	ADP	at
Bombay	PROPN	Bombay
,	PUNCT	,
I	PRON	I
learned	VERB	learn
that	SCONJ	that
my	PRON	my
corps	NOUN	corps
had	AUX	have
advanced	VERB	advance
through	ADP	through
the	DET	the
passes	NOUN	pass
,	PUNCT	,
and	CCONJ	and
was	VERB	be
already	ADV	already
deep	ADJ	deep
in	ADP	in
the	DET	the
enemy	NOUN	enemy
's	PART	's
country	NOUN	country
.	PUNCT	.
I	PRON	I
followed	VERB	follow
,	PUNCT	,
however	ADV	however
,	PUNCT	,
with	ADP	with
many	ADJ	many
other	ADJ	other
officers	NOUN	officer
who	PRON	who
were	VERB	be
in	ADP	in
the	DET	the
same	ADJ	same
situation	NOUN	situation
as	ADP	as
myself	PRON	myself
,	PUNCT	,
and	CCONJ	and
succeeded	VERB	succeed
in	ADP	in
reaching	VERB	reach
Candahar	PROPN	Candahar
in	ADP	in
safety	NOUN	safety
,	PUNCT	,
where	ADV	where
I	PRON	I
found	VERB	find
my	PRON	my
regiment	NOUN	regiment
,	PUNCT	,
and	CCONJ	and
at	ADP	at
once	ADV	once
entered	VERB	enter
upon	SCONJ	upon
my	PRON	my
new	ADJ	new
duties	NOUN	duty
