Mr.	PROPN	Mr.
Sherlock	PROPN	Sherlock
Holmes	PROPN	Holmes
,	PUNCT	,
who	PRON	who
was	VERB	be
usually	ADV	usually
very	ADV	very
late	ADJ	late
in	ADP	in
the	DET	the
mornings	NOUN	morning
,	PUNCT	,
save	VERB	save
upon	SCONJ	upon
those	DET	those
not	PART	not
infrequent	ADJ	infrequent
occasions	NOUN	occasion
when	ADV	when
he	PRON	he
was	VERB	be
up	ADV	up
all	DET	all
night	NOUN	night
,	PUNCT	,
was	AUX	be
seated	VERB	seat
at	ADP	at
the	DET	the
breakfast	NOUN	breakfast
table	NOUN	table
.	PUNCT	.
I	PRON	I
stood	VERB	stand
upon	SCONJ	upon
the	DET	the
hearth	NOUN	hearth
-	PUNCT	-
rug	NOUN	rug
and	CCONJ	and
picked	VERB	pick
up	ADP	up
the	DET	the
stick	NOUN	stick
which	DET	which
our	PRON	our
visitor	NOUN	visitor
had	AUX	have
left	VERB	leave
behind	ADP	behind
him	PRON	he
the	DET	the
night	NOUN	night
before	ADV	before
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
fine	ADJ	fine
,	PUNCT	,
thick	ADJ	thick
piece	NOUN	piece
of	ADP	of
wood	NOUN	wood
,	PUNCT	,
bulbous	ADJ	bulbous
-	PUNCT	-
headed	VERB	head
,	PUNCT	,
of	ADP	of
the	DET	the
sort	NOUN	sort
which	DET	which
is	AUX	be
known	VERB	know
as	ADP	as
a	DET	a
""""	PUNCT	""""
Penang	PROPN	Penang
lawyer	NOUN	lawyer
.	PUNCT	.
""""	PUNCT	""""
Just	ADV	just
under	ADP	under
the	DET	the
head	NOUN	head
was	AUX	be
a	DET	a
broad	ADJ	broad
silver	NOUN	silver
band	NOUN	band
nearly	ADV	nearly
an	DET	an
inch	NOUN	inch
across	ADP	across
.	PUNCT	.
""""	PUNCT	""""
To	ADP	to
James	PROPN	James
Mortimer	PROPN	Mortimer
,	PUNCT	,
M.R.C.S.	PROPN	M.R.C.S.
,	PUNCT	,
from	ADP	from
his	PRON	his
friends	NOUN	friend
of	ADP	of
the	DET	the
C.C.H.	PROPN	C.C.H.
,	PUNCT	,
""""	PUNCT	""""
was	AUX	be
engraved	VERB	engrave
upon	SCONJ	upon
it	PRON	it
,	PUNCT	,
with	ADP	with
the	DET	the
date	NOUN	date
""""	PUNCT	""""
1884	NUM	1884
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
was	AUX	be
just	ADV	just
such	DET	such
a	DET	a
stick	NOUN	stick
as	ADP	as
the	DET	the
old	ADJ	old
-	PUNCT	-
fashioned	ADJ	fashioned
family	NOUN	family
practitioner	NOUN	practitioner
used	VERB	use
to	PART	to
carry	VERB	carry
---	PUNCT	---
dignified	ADJ	dignified
,	PUNCT	,
solid	ADJ	solid
,	PUNCT	,
and	CCONJ	and
reassuring	ADJ	reassuring
.	PUNCT	.
"""Well"	INTJ	"""well"
,	PUNCT	,
Watson	PROPN	Watson
,	PUNCT	,
what	PRON	what
do	AUX	do
you	PRON	you
make	VERB	make
of	ADP	of
"it?""Holmes"	NOUN	"it?""holme"
was	AUX	be
sitting	VERB	sit
with	ADP	with
his	PRON	his
back	NOUN	back
to	ADP	to
me	PRON	I
,	PUNCT	,
and	CCONJ	and
I	PRON	I
had	AUX	have
given	VERB	give
him	PRON	he
no	DET	no
sign	NOUN	sign
of	ADP	of
my	PRON	my
occupation	NOUN	occupation
.	PUNCT	.
"""How"	PUNCT	"""How"
did	AUX	do
you	PRON	you
know	VERB	know
what	PRON	what
I	PRON	I
was	AUX	be
doing	VERB	do
?	PUNCT	?
I	PRON	I
believe	VERB	believe
you	PRON	you
have	VERB	have
eyes	NOUN	eye
in	ADP	in
the	DET	the
back	NOUN	back
of	ADP	of
your	PRON	your
head	NOUN	head
.	PUNCT	.
"""""I"	PUNCT	"""""I"
have	AUX	have
,	PUNCT	,
at	ADP	at
least	ADJ	least
,	PUNCT	,
a	DET	a
well	ADV	well
-	PUNCT	-
polished	ADJ	polished
,	PUNCT	,
silver	NOUN	silver
-	PUNCT	-
plated	VERB	plate
coffee	NOUN	coffee
-	PUNCT	-
pot	NOUN	pot
in	ADP	in
front	NOUN	front
of	ADP	of
me	PRON	I
,	PUNCT	,
""""	PUNCT	""""
said	VERB	say
he	PRON	he
.	PUNCT	.
""""	PUNCT	""""
But	CCONJ	but
,	PUNCT	,
tell	VERB	tell
me	PRON	I
,	PUNCT	,
Watson	PROPN	Watson
,	PUNCT	,
what	PRON	what
do	AUX	do
you	PRON	you
make	VERB	make
of	ADP	of
our	PRON	our
visitor	NOUN	visitor
's	PART	's
stick	NOUN	stick
?	PUNCT	?
Since	SCONJ	since
we	PRON	we
have	AUX	have
been	VERB	be
so	ADV	so
unfortunate	ADJ	unfortunate
as	ADP	as
to	PART	to
miss	VERB	miss
him	PRON	he
